Health Service Area,HSA_Code,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,481.1,480.6,481.5,N/A , N/A , N/A,888315,stable,-0.7,-1,0
"Montgomery, KY - Bath, KY(7)",131,640.6,594,690,N/A , N/A , N/A,149,stable,0.2,-0.3,0.8
"Wheatland, MT - Meagher, MT(6)",778,635.4,515.8,779.5,N/A , N/A , N/A,23,stable,-0.8,-4,2.4
"Washington, OH(6)",34,627.6,593.5,663.4,N/A , N/A , N/A,273,rising,2.7,0.7,6.8
"Coahoma, MS - Tallahatchie, MS(6)",422,625,577.7,675.3,N/A , N/A , N/A,140,rising,1.7,0.6,2.9
"Dunklin, MO(6)",945,622.5,569.3,679.6,N/A , N/A , N/A,106,rising,4.6,0.7,11.9
"Jasper, GA(7)",220,622.2,548.7,703.4,N/A , N/A , N/A,57,stable,0.2,-0.7,1.4
"Marion, IL - Washington, IL(7)",358,621.5,583.8,661.3,N/A , N/A , N/A,216,stable,-0.4,-0.9,0.2
"Barren, KY - Hart, KY(7)",53,619.8,588.3,652.6,N/A , N/A , N/A,318,stable,0.4,-0.3,1
"Angelina, TX - Walker, TX(7)",449,618.6,599.7,638,N/A , N/A , N/A,872,rising,3.3,1.1,6.6
"McDowell, NC(6)",261,617,577.6,658.7,N/A , N/A , N/A,196,stable,0.5,-0.2,1.3
"Claiborne, LA(7)",523,613.5,545.4,688.5,N/A , N/A , N/A,63,stable,-0.5,-1.9,0.9
"Lawrence, OH(6)",980,612.5,576.5,650.4,N/A , N/A , N/A,230,stable,0.3,-0.8,1.4
"Taylor, KY - Adair, KY(7)",82,611.2,579.2,644.6,N/A , N/A , N/A,296,stable,0,-0.6,0.5
"Morgan, IL - Greene, IL(7)",319,609.5,572,649,N/A , N/A , N/A,208,stable,0.4,-0.3,1.1
"Clay, IA - Dickinson, IA(7)",625,607.8,568.8,649,N/A , N/A , N/A,199,stable,0,-0.4,0.5
"Macon (Decatur), IL - Shelby, IL(7)",305,606.5,584.8,628.8,N/A , N/A , N/A,636,stable,0.6,-0.9,3.1
"St. Landry, LA - Evangeline, LA(7)",463,605.5,578.2,633.8,N/A , N/A , N/A,398,stable,-0.1,-0.7,0.5
"Craighead, AR - Greene, AR(6)",571,599.3,579.8,619.3,N/A , N/A , N/A,744,stable,-1,-5.8,3.1
"Arkansas, AR - Monroe, AR(6)",527,599.2,545.6,657.2,N/A , N/A , N/A,99,stable,-0.3,-1.7,1.1
"Clinton, IA(7)",921,597.2,558,638.6,N/A , N/A , N/A,186,stable,4.2,-0.1,8.8
"Clinton, KY - Cumberland, KY(7)",104,594.1,527.4,667.7,N/A , N/A , N/A,63,stable,0,-1.3,1.4
"Sangamon (Springfield), IL - Christian, IL(7)",318,592.8,577.4,608.6,N/A , N/A , N/A,1197,stable,-0.4,-0.8,0
"Jefferson Davis, MS - Lawrence, MS(6)",504,592.4,536.9,652.5,N/A , N/A , N/A,92,stable,2.1,-0.3,6.3
"Powell, MT(6)",788,592.4,504.2,693.7,N/A , N/A , N/A,34,stable,0.7,-1.2,2.8
"Spalding (Griffin), GA - Butts, GA(7)",204,592.2,562.5,623,N/A , N/A , N/A,320,stable,-0.7,-2.6,0
